job_id,client_name,client_email,job_value,job_type,job_date,status,assigned_to
1,"Thomas, Moss and Nicholson",swillis@thompson.biz,154,Consulting,2025-08-20,Completed,Anita Atkins
2,Harrison-Garcia,jason74@berry-griffith.com,3524,Development,2025-05-07,Completed,Shelley Simmons
3,Rangel-Powell,obrown@cruz.org,3861,Design,2026-02-01,Pending,Charles Alexander
4,"Knight, Benson and Schmidt",joshuastephens@webb.com,1377,Consulting,2025-07-11,Completed,Amber Salazar
5,"Hernandez, Williams and Fields",brian78@williams.com,853,Consulting,2025-07-22,Completed,Mario Brown
6,Griffin and Sons,melissa64@boyd.info,2026,Consulting,2025-03-09,Completed,Lisa Russell
7,Kim-Frey,lawrence71@stout-castaneda.info,4622,Maintenance,2025-12-21,Completed,Fernando Barrett
8,Velez-Perry,arellanopatrick@terry-evans.com,1153,Development,2025-03-02,Completed,Gail Baker
9,"Taylor, Pierce and Martinez",wongjoan@steele.com,3371,Consulting,2025-08-02,Completed,James Barr
10,Estrada Inc,veronicapage@powell.com,3197,Consulting,2025-03-25,Pending,Sarah Moore
11,Frederick LLC,bassjennifer@adams.org,3264,Maintenance,2026-01-14,Completed,Nicholas Maldonado
12,"Mendoza, King and Marshall",montgomeryraymond@pham.com,3621,Design,2025-05-27,Completed,John Rios
13,Massey Ltd,kcraig@lee-turner.org,2864,Consulting,2025-09-24,Completed,Allison Sellers
14,Aguilar Inc,dana89@acosta.net,2936,Development,2025-09-26,Completed,Rachael Moreno
15,Ayala-Collins,joe04@arroyo.org,4548,Development,2025-01-06,Completed,David Cardenas
16,Kim-Morton,john36@davenport.net,3507,Design,2025-12-07,Completed,Lisa Tran
17,Turner-Acosta,xcox@glover-smith.net,2334,Maintenance,2025-01-29,Completed,Emily Clark
18,"Berry, Garcia and Stuart",bmoore@fitzgerald-hill.com,3298,Consulting,2025-04-23,Completed,Edward Gonzalez
19,Collins Ltd,samanthabrown@clark-taylor.com,4852,Development,2026-01-10,Completed,David Sanchez
20,Sullivan PLC,rachel17@rosales.com,4677,Development,2025-03-08,Completed,Jill Fisher
21,"Garza, Sweeney and Long",ricardo46@roberson.info,2194,Development,2025-09-19,Completed,Lydia Clayton
22,Johnson and Sons,jonesfrances@martinez-thomas.com,1008,Development,2025-04-24,Completed,Jason Walker
23,Juarez PLC,seth00@parks.com,1179,Maintenance,2025-02-21,Completed,Jason Moreno
24,Collins-Johns,slucas@andrews.com,2091,Development,2026-02-17,Completed,Mary Phillips
25,Brooks-Tyler,sanchezamy@thomas-clark.com,2041,Consulting,2025-07-30,Completed,Evan Brooks
26,Rivera-Lowe,seansullivan@kennedy-wright.com,814,Consulting,2025-12-21,Completed,Kevin Gomez
27,"Solomon, Edwards and Davis",blairjacqueline@giles.com,1247,Maintenance,2026-02-13,Completed,Amanda Yang
28,"Powell, Roach and Fitzgerald",watkinsgary@owen.com,3662,Consulting,2025-08-20,Completed,Shelby Skinner
29,Weber-Velazquez,candicemoore@parker-nelson.com,4441,Consulting,2026-01-30,Completed,Adam Brown
30,"Shepherd, Kaufman and Baker",melissa97@lara-choi.com,4137,Maintenance,2025-02-02,Completed,Calvin Reid Jr.
31,Morse-Riddle,zsosa@davis.com,3680,Consulting,2025-04-07,Completed,Bruce Jenkins
32,Burke PLC,hwong@carter-reese.com,1293,Maintenance,2026-01-26,Completed,Shelley Santos
33,"Rivera, Brown and Fuller",crystal84@williams.com,2464,Design,2025-07-08,Completed,James Smith
34,Lee-Moore,williamsonkaren@summers.com,4625,Maintenance,2025-12-04,Completed,Caroline Wilson
35,"Morgan, Mccormick and May",melissagriffin@mueller.com,3864,Consulting,2025-06-16,Completed,Erica Morris
